Location Description,Speed Limit,Reason Code(s),Geo Location (address),Geo Location (city),Geo Location (state),Geo Location (zip)
107 Ave WB between 136 - 139 St,60,"(c), (h)",,,,
132 Ave WB between 103 - 105 St,50,"(a), (h)",,,,
17 Ave WB between 85 St - Knottwood Rd W,30,(f),,,,
Ellerslie Rd SW EB between 109 St SW-Calgary Tr,60,"(c), (h)",,,,
NB 97 St N of 73-75 Ave,30,(f),,,,
11A Ave EB between 58 - 56 St,30,(f),,,,
112 Ave WB between 76 - 78 St,50,"(b), (h)",,,,
SB 156 St between 99 - 98 Ave,50,"(c), (h)",,,,
NB 167 St btwn 80 - S of 83 Ave,30,(f),,,,
NB 175 St btwn 82 - 85 Ave,30,(f),,,,
SB 79 St between 105 - 103 Ave,50,(h),,,,
WB 105 Ave btwn 136 - 139 St,30,(f),,,,
SB 105 St between 20 - 19 Ave,30,(f),,,,
114 St SB between 39 - 37 Ave,30,(f),,,,
79 St NB between 82 - 90 Ave,50,(h),,,,
Brintnell Blvd WB between 45 - 47 St,50,"(c), (h)",,,,
Saddleback Rd SB between 27 - 25 Ave,50,(h),,,,
SB 184 St between 57 - 52 Ave,50,(h),,,,
40 St NB between 119 - 120 Ave,30,(f),,,,
EB 132 Ave btwn 137 - 135 St,30,(f),,,,
Watt Blvd SB between 11 - 13 Ave SW,50,(h),,,,
165 St NB between 93 - 95 Ave,30,(f),,,,
136 Ave WB between 131 - 134 St,30,(f),,,,
38 Ave EB between 60 - 55 St,30,(f),,,,
104 Ave EB between 152 - 151 St,30,(f),,,,
NB 182 St between 89 - 93 Ave,30,(f),,,,
EB 144 Ave Btwn 76-74 St,30,(f),,,,
Anthony Henday Dr EB at 50 St,100,(a),,,,
NB 94 St betweem 140 - 143 Ave,30,(f),,,,
144 St NB between 103 - 104 Ave,30,(f),,,,
Scona Rd SB between 95A - 94 Ave,50,(c),,,,
SB 189 St between 95 - 91 Ave,50,(h),,,,
EB 144 Ave btwn 88A -E of 87 St,30,(f),,,,
102 Ave WB between Groat Rd - 129 St,50,"(c), (h)",,,,
62 St SB between 134 - 132 Ave,30,(f),,,,
Watt Blvd NB between 13 - 11 Ave SW,50,(h),,,,
WB 37A Ave btwn 23 St - E of 28 St,30,(f),,,,
55 St SB between 118 - 113 Ave,30,(f),,,,
SB Millbourne Rd E btwn Lee Ridge Rd - 36A Ave,30,(f),,,,
Anthony Henday Dr EB at 91 St,100,"(a), (b), (c)",,,,
163 St SB between 93 - 92 Ave,50,"(b), (f), (h)",,,,
72 St NB between 149 - 149A Ave,30,(f),,,,
NB 135 St btwn 116 - Woodcroft Ave,30,(f),,,,
McQueen Rd EB between 146 - 142 St,30,(f),,,,
Wayne Gretzky Dr SB btw Ada Blvd-Capilano Bridge,80,(a),,,,
Anthony Henday Dr EB at 111 St,100,(a),,,,
Wayne Gretzky Dr SB btwn Capilano Bridge-106Ave,80,(a),,,,
WB 19A Ave btwn 56 - 61 St,30,(f),,,,
Whitemud Dr SB between Fox Dr - 53 Ave,80,"(a), (b), (c)",,,,
Brintnell Blvd EB between 47 - 45 St,50,"(c), (h)",,,,
EB Buena Vista Rd between 142 - 138 St,50,(h),,,,
140 Ave EB between 90 - 88A St,30,(f),,,,
34 St NB between 120 Ave - Abbottsfield Rd,30,(f),,,,
132 Ave EB between 123 - 121 St,50,"(b), (h)",,,,
NB 106 St btwn 40 - 42 Ave,30,(f),,,,
50 St SB between Jamha Rd - 44 Ave,60,(b),,,,
106 St SB between 48 - 45 Ave,50,(c),,,,
Jasper Ave WB between 87 - 90 St,50,(c),,,,
WB Millwoods Rd S btwn W of 54 St - E of 62 St,30,(f),,,,
SB 76 St south of 40 - 38 Ave,30,(f),,,,
Ottewell Rd between 93A - 92 Ave,40,(h),,,,
NB 79 St between 103 - 105 Ave,50,(h),,,,
EB 161A Ave between 76 - 74 St,30,(f),,,,
127 St NB between 115 - 116 Ave,30,(f),,,,
WB Whitemud Dr between North Sask River - 149 St,80,(h),,,,
WB 63 Ave Btwn 124 - 127 St,30,(f),,,,
EB Lakewood Rd N between 85 - 82 St,30,(f),,,,
EB 110 Ave Btwn 161 - 159 St,30,(f),,,,
144 Ave WB between 74 - 77 St,30,(f),,,,
EB Allan Dr SW Btwn Anderson Way SW - Allan Cres Sw,30,(f),,,,
38 Avenue EB between 44 – 41 Street,50,(h),,,,
180 Ave EB between 87 - 83 St,50,(h),,,,
Hermitage Rd WB between Homestead Cr - Henry Ave,50,"(c), (h)",,,,
WB 129 Ave Btwn 129 -131,30,(f),,,,
WB 144 Ave between 87 - 92 St,30,(f),,,,
EB 132 Ave Btwn 113A - E of 109 St,30,(f),,,,
Taylor Grn SB btn Towne Ctr Blvd-Terwillegar Comm,30,(f),,,,
SB 91 St between 88 - 86 Ave,30,(h),,,,
12 Ave WB btwn Twin Brooks Dr - Twin Brooks Cr,30,(f),,,,
WB 95 Ave between 165 - 167 St,50,"(f), (h)",,,,
EB 34 Ave between Millwoods Rd - 66 St,60,(h),,,,
SB 94 St between 143 Ave - 93 St,30,(f),,,,
NB 165 St between 95 - 97 Ave,30,(f),,,,
SB 156 St between 90 - 89 Ave,50,(h),,,,
12 Ave EB between 45 - 39 St,30,(f),,,,
Hemingway Rd EB between 204 - 201 St,30,(f),,,,
57 Ave EB between 184 - 181 St,30,(f),,,,
SB Allard Blvd SW btn  Alexander Way - Allard Blvd SW,30,(f),,,,
WB Stony Plain Rd Between 180 - 182 St,60,(c),,,,
34 St SB between 111 - 108 Ave,30,(f),,,,
Whitemud Dr. at 111 St.,80,(a),,,,
Rabbit Hill Rd SB between Cormack Cr - Leger Blvd,60,(h),,,,
85 St SB between 95 - 93 Ave,50,"(c), (h)",,,,
57 Ave WB between 113A - 113B St,30,(h),,,,
107 Ave EB between 149 - 144 St,60,"(c), (h)",,,,
128 St NB between 122 - 123 Ave,30,(f),,,,
127 Ave EB between 92 - 90 St,60,(h),,,,
EB 23 Ave between 119 St - Saddleback Rd,60,(h),,,,
SB 91 St S of 88 - 86 Ave,30,(f),,,,
Lakewood Rd S WB between 79 - 81 St,30,(f),,,,
NB Mactaggart Dr between Maynard Way - May Rd,30,(f),,,,
Rutherford Rd NB btwn 17A Ave - Rutherford Pt SW,30,(f),,,,
WB Whitemud Dr between 91 - 99 St,80,"(a), (b), (c)",,,,
111 Ave EB between 149 - 142 St,60,(b),,,,
79 St SB between 90 - 82 Ave,50,(h),,,,
SB 59A St between 162 - 159 Ave,50,(h),,,,
57 Ave WB between 174 - 175 St,30,(f),,,,
NB 165 St btwn 95 - N of 97 Ave,30,(f),,,,
132 Ave EB between 90 - 88 St,50,"(a), (f), (h)",,,,
WB 132 Ave E of 109 - 113A St,30,(f),,,,
76 Ave EB between 176 - 173 St,30,(f),,,,
SB 44 St between Jackson Rd - Kulawy Dr,50,(h),,,,
Whitemud Dr. at 111 St,80,(a),,,,
SB 102 St btwn 116 - 114 Ave,30,(f),,,,
142 St SB between 85 - 80 Ave,30,(f),,,,
Milbourne Rd W WB between 76 - 79 St,50,(h),,,,
184 St NB between 57 Ave - Callingwood Rd,50,(h),,,,
SB 135 St Btwn Woodcroft Ave - 116 Ave,30,(f),,,,
113A St NB between 55 - 56 Ave,50,(h),,,,
WB 34 Ave between 66 St - Millwoods Rd,60,(h),,,,
106 Ave EB between Fulton Dr - 65 St,50,(h),,,,
Kirkness Rd WB between 148 Ave - 31 St,30,(f),,,,
SB 159 St between 87 Ave - Whitemud Dr,60,"(c), (h)",,,,
12 Ave EB between 113 - 111 St,50,"(f), (h)",,,,
23 Ave WB west of 119 St,60,"(b), (c), (h)",,,,
Anthony Henday Dr NB north of Stony Plain Rd,100,"(a), (b), (c)",,,,
76 Ave WB between 78 - 80 St,30,(f),,,,
Anthony Henday Dr At 111 Street   EB,100,(a),,,,
NB 59A St Btwn 159 - 162 Ave,30,(f),,,,
87 St SB between 79 - 78 Ave,30,(f),,,,
WB 40 Ave btwn 57 St - E of Granlea Crescent,30,(f),,,,
Wayne Gretzky Dr NB - 106 Ave - Capilano Bridge,80,(a),,,,
54 Ave WB between 113A - 114 St,30,(f),,,,
118 Ave EB between 56 - 54 St,50,"(a), (h)",,,,
WB 150 Ave W of 89A - 94 St,30,(f),,,,
Whitemud Dr WB btwn 178 St - Anthony Henday Dr,80,(a),,,,
Hermitage Rd EB between 40 St - 127 Ave,30,(f),,,,
137 Ave WB between 82 - 87 St,60,(b),,,,
Anthony Henday Dr SB at Terwillegar Dr,100,"(a), (b)",,,,
SB 21 St Btwn 151 - 146 Ave,30,(f),,,,
SB 59 St btwn 149 Ave - 62 St,30,(f),,,,
Rutherford Rd SW SB btwn 14 - 15 Ave SW,30,(f),,,,
NB 172 St N of Callingwood Rd - 64 Ave,30,(f),,,,
107 St NB between 134 - 135A Ave,30,(f),,,,
SB 90 St Btwn 135 - 132 Ave,30,(f),,,,
NB 102 St between 114 - 116 Ave,30,(f),,,,
EB Hermitage Rd Btwn 40 St - 127 Ave,30,(f),,,,
SB 106 St between 47 - 45 Ave,30,(f),,,,
Anthony Henday Dr EB at 97 St,100,"(a), (b), (c)",,,,
EB 162 Ave 375 M W of 115 - 115 St,30,(f),,,,
176 Ave EB between 112 - 107 St,50,(h),,,,
Whitemud Dr WB at 111 St.,80,(a),,,,
EB 144 Ave btwn 74 - 69 St,30,(f),,,,
107 St NB between 109 - 110 Ave,30,(f),,,,
Anthony Henday Dr NB at Lessard Rd,100,(a),,,,
NB 21 St Btwn 146 - 151 Ave,30,(f),,,,
Calgary Tr SB south of 23 Ave,90,(a),,,,
EB 89 Ave btwn 71 - 68A St,30,(f),,,,
SB Mill Woods Rd E of 85 St - W of 38A Ave,30,(f),,,,
91 St NB between 172 - 174 Ave,30,(f),,,,
Stanton Dr EB between 74 - 70 St,50,(h),,,,
SB 182 St between 93 - 89 Ave,50,(h),,,,
WB 144 Ave Btwn 74-76 St,30,(f),,,,
51 Ave WB between 114 - 116 St,50,(h),,,,
SB 109 St btwn 164 Ave - Beaumaris Rd,30,(f),,,,
EB Castledowns Rd between 109 - 97 St,60,(h),,,,
EB 162 Ave Btwn Hollick Kenyon R - W of 54 St,30,(f),,,,
Silver Berry Road between 32 - 29 St,50,(h),,,,
Knottwood Rd E SB between 72 St - 19 Ave,30,(f),,,,
SB 163 St Btwn 104 - 103 Ave,30,(f),,,,
79 St NB between 94 - 95 Ave,30,(f),,,,
EB 111 Ave between 116 - 113 St,60,(b),,,,
101 Ave WB between 88 - 90 St,30,(f),,,,
41 Ave between 92-97 St,50,"(c), (h)",,,,
WB Cumberland Rd btwn 134 - 138 St,50,(h),,,,
Rhatigan Rd E SB btwn Riverbend Rd - Rehwinkel Rd,30,(f),,,,
SB 103 St S of 164 - W of 161 Ave,30,(f),,,,
83 St NB between Whyte Ave - 86 Ave,50,(h),,,,
EB 129 Ave W of 130 - 129 St,30,(f),,,,
Whitemud Dr. at 91 St,80,(a),,,,
66 St NB between 164 - 166 Ave,60,(c),,,,
EB Hemmingway Rd Btwn 204 - 201 St,30,(f),,,,
SB 50 St between 162 - 159 Ave,60,(h),,,,
SB 130 St N of 113 - 111 Ave,30,(f),,,,
NB 118 St N of 145 - S of 152 Ave,30,(f),,,,
Ellierslie Rd SW WB between Calgary Tr-109 St SW,60,(h),,,,
NB 62 St btwn Fulton Rd - 106 Ave,30,(f),,,,
87 Ave WB between 150 - 152 St,60,(c),,,,
149A Ave WB between 76 - 77 St,30,(f),,,,
NB 163 St Btwn 103 - 104 Ave,30,(f),,,,
50 St SB between McLeod Rd - 146 Ave,60,"(b), (c), (h)",,,,
EB 172 Ave  W of 107 - E of 104 St,30,(f),,,,
17 Ave EB between Knottwood Rd W - 85 St,30,(f),,,,
184 St NB between 62B - 66 Ave,30,(f),,,,
SB Anthony Henday Dr at Aurum Rd NE,100,"(c), (h)",,,,
SB 184 St btwn 57 Ave - N of 52 Ave,30,(f),,,,
139 Ave EB between 119 - 117 St,50,(h),,,,
SB 96 St N of 68 - 66 Ave,30,(f),,,,
EB 112 Ave btwn 55 - 53 St,50,(h),,,,
90 Ave WB between 68 - 71 St,60,(h),,,,
Whitemud Dr WB between 170 - 178 St,80,(a),,,,
EB 84 Ave between 187 - 184 St,50,(h),,,,
SB 97 St between 110 - 108 Ave,50,(h),,,,
4 Ave SW btwn 50 -52 St  WB,50,(h),,,,
WB Cumberland Rd btwn W of 134 - 139 St,30,(f),,,,
WB 132 Ave btwn 72 - W of 76 St,30,(f),,,,
100 Ave EB Anthony Henday Dr,70,"(c), (h)",,,,
90 Ave WB between 57 - 58 St,60,(h),,,,
WB 87 Ave between 119 St - Sask Dr,50,(h),,,,
Anthony Henday Dr At 87 Ave SB,100,(a),,,,
86 Ave EB between 68A - 64 St,30,(f),,,,
Saddleback Rd NB between 114 St - 23 Ave,50,(h),,,,
79 St SB between 95 - 93A Ave,50,(h),,,,
Silver Berry Rd EB between 32 - 24 St,50,(h),,,,
WB 164 Ave Btwn 84-87 St,30,(f),,,,
NB Lakewood Rd E btwn 29 Ave - 71 St,30,(f),,,,
EB Whitemud Dr between 76 - 66 St,60,(g),,,,
WB 64 Ave Btwn 172-177 St,30,(f),,,,
SB 62 St btwn 106 Ave - Fulton Rd,30,(f),,,,
91 Ave EB between 155 - 154 St,30,(f),,,,
SB 96 St N of 68 - 66 Ave,30,(f),,,,
50 St NB between 146 Ave - Matheson Way,60,"(c), (h)",,,,
SB Rabbit Hill Rd NW btn Carter Crest Rd-Leger Blv,60,(h),,,,
NB 91 St N of 172 - 175 Ave,30,(f),,,,
Blackburn Dr W EB btwn 111 St - Blackett Wynd SW,50,"(b), (c), (h)",,,,
NB 109 St btwn Beaumaris Rd - 164 Ave,30,(f),,,,
SB Wayne Gretsky Dr btwn 116 Ave - Capilano Bridge,50,(g),,,,
129 St SB between 122 - 119 Ave,50,(h),,,,
EB 98 Ave between 93 - 91 St,60,(h),,,,
Anthony Henday Dr. west of 34 St.,100,(a),,,,
SB 59A St Btwn 162-159 Ave,30,(f),,,,
162 Ave EB between 161 Ave - 115 St,30,(f),,,,
118 St SB between 103 - 102 Ave,30,(f),,,,
WB Edwards Dr SW between 85 St - Easton Rd SW,50,(h),,,,
WB 97 A Ave Btwn 185 - 189 St,30,(f),,,,
48 St NB between 17A - 18A Ave,30,(f),,,,
EB Lakewood Road N Btwn 31 Ave - 80 St,30,(f),,,,
NB 106 St Btwn 56 - 60A Ave,30,(f),,,,
86 Ave WB between 109 - 110 St,30,(f),,,,
Clareview Rd NB between 132A - 135 Ave,30,(f),,,,
107 Ave EB between 139 -136 St,60,"(c), (h)",,,,
WB 93A Ave between 58 - 68 St,30,(f),,,,
SB Jackson Rd btwn Jefferson Rd - Jamha Rd,30,(f),,,,
Yellowhead Tr EB btwn 121 - 107 St,70,"(a), (b)",,,,
EB 40 Ave between 112A - 111 St,50,"(c), (f), (h)",,,,
EB 144 Ave between 62 - 57 St,30,(f),,,,
SB Windermere Rd Btwn Whitelaw Ln-Windermere Blvd,30,(f),,,,
Anth. Henday Dr.SB South of N. Sask.River,100,(a),,,,
51 Ave WB between 123 - 124 St,30,(f),,,,
EB 40 Ave between 119 - 115A St,50,"(c), (f), (h)",,,,
NB 88 St SW btn Summerside Grande Bv-Summerside Dr,50,(h),,,,
Sherbrook Ave WB between 130A St - S. Albert Tr,50,(h),,,,
WB 144 Ave between 69 - 74 St,30,(f),,,,
SB 106 St btwn 42 - 40 Ave,30,(f),,,,
NB Saskatchewan Dr between University Ave - 87 Ave,50,(h),,,,
Anthony Henday Dr NB at Callingwood Rd (62 Ave),100,(a),,,,
SB Millwoods Rd between 28 - 23 Ave,50,(h),,,,
82 Ave EB between 91 - 87 St,50,(c),,,,
WB 104 Ave btwn 159 - 161 St,30,(f),,,,
44 St SB between Jackson Rd - Kulawy Dr N,50,(h),,,,
72 Ave EB between 188 - 187 St,30,(f),,,,
87 Ave WB between 145 - 147 St,60,(c),,,,
EB 95 Ave between 170 - 165 St,50,"(f), (h)",,,,
EB Whitemud Dr between 76 - 66 St,50,(g),,,,
Anthony Henday Dr. NB @ Yellowhead Tr.,100,"(a), (b), (c)",,,,
Anthony Henday Dr EB at Rabbit Hill Rd,100,(a),,,,
12 Ave EB between Twin Brooks Cr - 113 St,30,(f),,,,
104 Ave WB between 151 - 152 St,30,(f),,,,
100 St. NB btwn 161 - 165 Ave.,50,(h),,,,
54 St NB between 121 - 122 Ave,30,(f),,,,
WB 106 Ave between Rowland Rd - 76 St,50,(h),,,,
WB 179 Ave between 92 - 93 St,50,(h),,,,
NB 91 St between 86 -88 Ave,30,(f),,,,
144 Ave WB between 77 - 79 St,50,(h),,,,
Milbourne Rd E SB between 38 - 36A Ave,50,"(f), (h)",,,,
Whitemud Dr NB between 53 Ave - Fox Dr,80,"(a), (b)",,,,
EB 132 Ave W of 76 - 72 St,30,(f),,,,
40 St SB between 120 - 119 Ave,30,(f),,,,
41 Ave WB between 41 - 43 St,30,(f),,,,
145 Ave WB between 114A - 117 St,50,(h),,,,
EB 114 Ave between 48 - 46 St,50,(h),,,,
Groat Rd SB between Emily Murphy Park Rd - 87 Ave,60,(h),,,,
Blackburn Dr W WB btwn Blackett Wynd - 111 St SW,50,"(b), (c), (h)",,,,
EB 53 Ave btwn Riverbend Rd - Whitemud Dr,30,(f),,,,
SB 91 St Btwn 175 - N of 172 Ave,30,(f),,,,
91 St SB between 63 - 58 Ave,60,(c),,,,
WB Hermitage Rd Btwn Hunt Rd - Huffman Cres,30,(f),,,,
SB 113A St btwn 57 - 54 Ave,30,(f),,,,
WB 76 Ave btwn 105 - 106 St,30,(f),,,,
Fort Rd SB between 134 - 133 Avenue,50,"(b), (c)",,,,
122 St SB between 53 - 51 Ave,60,(c),,,,
132A Ave WB between 31 - 34 St,30,(f),,,,
38 Ave WB between 55 - 60 St,30,(f),,,,
NB 65 St btwn 104 - 106 Ave,30,(f),,,,
34 St NB between 108 - 111 Ave,30,(f),,,,
Saddleback Rd SB between 27 - 25 Ave,30,(f),,,,
EB 11A Ave btwn 60 - 56 St,30,(f),,,,
150 Ave WB between 92 - 93 St,30,(f),,,,
EB Lakewood Rd S btwn 83- 79 St,30,(f),,,,
Saddleback Rd EB between 114 - 111A St,50,(h),,,,
119 St SB between 135 - 134 Ave,30,(f),,,,
SB Mill Woods Rd S of Lakewood  Rd N - 28 Ave,30,(f),,,,
Knottwood Rd S EB between 77 - 75 St,30,(f),,,,
NB 130 St btwn 111 Ave - N of 113 Ave,30,(f),,,,
SB 97 St between 167 - 153 Ave,70,(b),,,,
Wanyandi Rd/Wolf Ridge SB-Wanyandi Wy,50,(h),,,,
SB 110 St between 110 - 109 Ave,30,(f),,,,
128 Ave EB between 46 - 45 St,30,(f),,,,
Anthony Henday Dr WB at LeClair Way,100,(a),,,,
NB 36 St between 139 - 144 Ave,50,(h),,,,
WB 89 Ave btwn 68A - 71 St,30,(f),,,,
SB 23 St Btwn 142 - N of 139 Ave,30,(f),,,,
118 St SB between 152 -145 Ave,30,(f),,,,
12 Ave WB between 39 - 45 St,30,(f),,,,
Sherbrooke Ave EB between St. Albert Tr - 130A St,50,(h),,,,
WB Fairway Dr btwn 119 - 121 St,30,(f),,,,
189 St SB between Callingwood Rd - 59 Ave,50,(h),,,,
EB 132 Ave btwn 88 - 86 St,30,(f),,,,
136 Ave EB between 134 - 131 St,30,(f),,,,
154 St SB between 106 - 105 Ave,30,(f),,,,
110 Ave EB between 160A - 159 St,30,(f),,,,
156 St SB between 109 - 108 Ave,50,"(a), (b)",,,,
93 Ave WB between 179 - 180 St,30,(f),,,,
EB 87 Ave between 120 - 117 St,50,(b),,,,
21 St NB between 147 - 151 Ave,30,(f),,,,
NB 182 St N of 84 -87 Ave,30,(f),,,,
Bulyea Rd SB between Buchanan Rd - Burgess Close,50,(h),,,,
WB Blackmud Crk Dr SW btn Baker Close-James Mowatt Tr,30,(f),,,,
WB Kirkness Rd Btwn 151 Ave - 31 St,30,(f),,,,
EB 130 Ave Btwn 78 - W of 75 St,30,(f),,,,
EB 51 Ave Btwn 124 - 123 St,30,(f),,,,
WB Whitemud Dr between 50 - 75 St,60,(g),,,,
144 Ave EB between 74 – 72 St,50,"(b), (f), (h)",,,,
WB Dunluce Rd between 120 St - Warwick Rd,50,(h),,,,
WB 62 Ave between 205 St - Getty Gate,60,(h),,,,
SB 36 St between 144 - 139 Ave,50,(h),,,,
EB 111 Ave between 113 - 110 St,60,(b),,,,
NB 106 St btwn 63 - 66 Ave,30,(f),,,,
EB 84 Ave between 187 - 184 St,50,(h),,,,
NB 72 St Btwn 144 - 149 A Ave,30,(f),,,,
SB 88 St SW between 14 - 19 Ave SW,50,(h),,,,
144 Ave EB between 57 - 54 St,50,"(f), (h)",,,,
SB 80 St btwn Millwoods Rd S - 14 Ave,30,(f),,,,
112 Ave EB between 78 - 76 St,50,"(b), (h)",,,,
Hemingway Rd WB between 201 - 204 St,30,(f),,,,
EB 179 Ave between 93 - 92 St,50,(h),,,,
118 Ave WB between 85 - 87 St,50,(h),,,,
NB 105 St between 19 - 20 Ave,50,(h),,,,
Univ. Ave. Between Sask. Dr. - 115A St.,50,(h),,,,
21 St SB between 151 - 147 Ave,30,(f),,,,
SB 175 St Btwn 85 - 82 Ave,30,(f),,,,
EB Ellerslie Rd SW btwn 91 St - Summerside Dr SW,60,"(b), (c)",,,,
92 Ave WB between 156 - 163 St,30,(f),,,,
EB 122 Ave between Dovercourt Cr - 134 St,30,(f),,,,
WB 40 Ave between 111 - 112A St,50,"(c), (f), (h)",,,,
75 St NB between 92A - 94B Ave,60,(b),,,,
SB Millwoods Rd E Btwn 18 - 17 Ave,30,(f),,,,
82 Ave EB between 98 - 97 St,50,(h),,,,
23 Ave EB between Magrath Rd - 119 St,60,"(b), (c), (h)",,,,
NB 106 St Btwn 31 - 32A Ave,30,(f),,,,
SB Sask Dr between 87 - University Ave,50,"(c), (h)",,,,
Savaryn Dr SW WB between 89 - 88 St SW,50,(h),,,,
AHD NB – south of N Sask River,100,(a),,,,
WB 111 Ave between 116 - 119 St,60,(b),,,,
WB 132 Ave between 109 - 113A St,30,(f),,,,
WB 140 Ave Btwn 88 A - 93 St,30,(f),,,,
12 Ave WB between 112 - 113 St,50,"(f), (h)",,,,
SB St Albert Tr between 134 - 132 Ave,60,"(a), (c)",,,,
EB 95 Ave Btwn 90 - 87 St,30,(f),,,,
EB 139 Ave btwn 34 - 30 St,30,(f),,,,
SB Millwoods Rd between Lakewood Rd N - 28 Ave,50,(h),,,,
Gateway Blvd NB at Anthony Henday Dr,90,(a),,,,
104 St Between Univ. Ave. - 73 Ave.,50,"(f), (h)",,,,
EB 93A Ave between 68 - 58 St,30,(f),,,,
NB Millwoods Rd between 28 Ave - Lakewood Rd N,50,(h),,,,
92 Ave EB between 163 - 156 St,30,(f),,,,
EB Fairway Dr btwn 121 - 119 St,30,(f),,,,
SB Capilano St Btwn 65 - 59 St,30,(f),,,,
EB 179 Ave between 93 - 92 St,50,"(c), (h)",,,,
143 St NB between 91 - 92 Ave,30,(f),,,,
EB Summerside Dr SW btwn Summerside Cove-88 St SW,50,(h),,,,
SB 91 St between 175 - 172 Ave,50,(h),,,,
WB 122 Ave between St Albert Tr - Dovercourt Cr,30,(f),,,,
118 Ave WB between 60 - 62 St,50,"(a), (h)",,,,
Whitemud Dr EB east of 106 St,80,(a),,,,
WB 149 A Ave Btwn 76-79 St,30,(f),,,,
152 St NB between 95 - 96 Ave,30,(f),,,,
Yellowhead Tr EB @ AHD,100,"(a), (b), (c)",,,,
162 Ave WB between 54A - 54B St,30,(f),,,,
176 Ave EB between 104 - 99 St,50,(h),,,,
131 Ave WB between 117 - 119 St,30,(f),,,,
NB 180 St Btwn Willow CT - S of 73 Ave,30,(f),,,,
84 Ave WB between 154 - 156 St,30,(f),,,,
NB 95 St N of 171 - 174 Ave,30,(f),,,,
109 St SB between 110 - 108 Ave,50,"(a), (b), (f), (h)",,,,
170 St SB between 117 - 114 Ave,60,"(b), (h)",,,,
NB Jackson Rd btwn Jordan Cres - Jefferson Rd,30,(f),,,,
EB 57 Ave btwn 175 St - W Entrance of Lessard Dr,30,(f),,,,
WB 23 Ave between Saddleback Rd - 119 St,60,(h),,,,
59A St SB between 159A - 159 Ave,30,(f),,,,
NB 106 St btwn 36A - 40 Ave,30,(f),,,,
EB 19A Ave btwn 61 - 56 St,30,(f),,,,
NB 79 St Btwn 94 - 95 Ave,30,(f),,,,
72 Ave WB between 187 - 188 St,30,(f),,,,
Anthony Henday Dr WB at LeClair Way,100,(a),,,,
132 Ave WB between 68 - 72 St,50,"(a), (h)",,,,
176 Ave EB between 112 - 107 St,50,(h),,,,
WB 95 Ave between 158 - 160 St,50,(c),,,,
76 Ave WB between 154 - 155 St,30,(f),,,,
EB 164 Ave Btwn 87-84 St,30,(f),,,,
118 St NB between 145 - 152 Ave,30,(f),,,,
EB 43 Ave btwn 114 - 111 St,30,(f),,,,
119 Ave WB between 63 - 64 St,30,(f),,,,
Haddow Dr SB between Haliburton Rd - Hector Rd,50,(h),,,,
EB 144 Ave between 92 - 87 St,30,(f),,,,
NB Millbourne Rd E btwn 36A Ave - Lee Ridge Rd,30,(f),,,,
WB 107 Ave between 110 - 113 St,50,(h),,,,
WB McQueen Rd Btwn 142 - W of 146 St,30,(f),,,,
95 Ave EB between 89 - 87 St,30,(f),,,,
Yellowhead Tr WB at 7710 Yellowhead Tr,70,"(b), (c)",,,,
119 Ave EB between 64 - 63 St,30,(f),,,,
NB 79 St between 98A - 101 Ave,50,(h),,,,
EB 149 A Ave Btwn 78 - W of 75A St,30,(f),,,,
SB 88A St btwn 144 - 150 Ave,30,(f),,,,
WB 114 Ave Btwn 36 - 38 St,30,(f),,,,
42 Ave EB between 107 - 106 St,30,(f),,,,
144 Ave WB between 69 - 72 St,50,"(f), (h)",,,,
Anthony Henday Dr NB at Terwillegar Dr,100,(a),,,,
85 St NB between 93 - 95 Ave,50,(h),,,,
51 Ave EB between 116 - 114 St,50,(h),,,,
Anthony Henday Dr EB at 184 St,100,(a),,,,
Millwoods Rd E NB between 36 - 38 Ave,30,(f),,,,
NB 156 St between 89 - 90 Ave,50,(h),,,,
Griesbach Rd WB btwn Griesbach School Rd-103 St,30,(f),,,,
76 Ave EB between 155 - 154 St,30,(f),,,,
97A Ave EB between 189 -185 St,30,(f),,,,
SB 104 St Btwn University Ave - 73 Ave,50,"(c), (f)",,,,
WB 144 Ave btwn 69 - 74 St,30,(f),,,,
107 St SB between 135A - 134 Ave,30,(f),,,,
WB McConachie Dr Btwn 58 St - McConachie Way,30,(f),,,,
NB 105 St between 19 - 20 Ave,30,(f),,,,
WB Whitemud Dr between 50 - 75 St,50,(g),,,,
Gateway Blvd NB between 68 - 71 Ave,60,(h),,,,
NB Bellamy Hill between 103 St - MacDonald Dr,50,(h),,,,
Ottewell Rd between 96A - 95 Ave,40,(h),,,,
NB Wayne Gretsky Dr btwn 106 - 112 Ave,50,(g),,,,
SB Millwoods Rd E between 18 - 17 Ave,30,(f),,,,
46 St NB between 105A - 106 Ave,30,(f),,,,
75 St SB between 95 - 94 Ave,60,(b),,,,
WB 106 Ave between 74 - 76 St,50,(h),,,,
EB McQueen Rd - W of 146 - 142 St,30,(f),,,,
90 Ave EB between 71 - 68 St,60,(h),,,,
Bulyea Rd NB between Burley Dr - Burton Rd,50,(h),,,,
WB 132 Ave between Fort Rd - 66 St,50,"(a), (h)",,,,
NB 88A St btwn 150 - 144 Ave,30,(f),,,,
EB 121 Ave btwn 48 St - W of 45 St,30,(f),,,,
SB Meadowlark Rd between 90 - 88A Ave,50,(h),,,,
132 Ave EB between Delwood Rd - 79 St,50,"(a), (h)",,,,
SB 115 St btwn 48 - 46 Ave,30,(f),,,,
